response_id,class
response_1,not_flagged
response_42,not_flagged
response_43,not_flagged
response_44,not_flagged
response_45,not_flagged
response_46,not_flagged
response_47,not_flagged
response_48,not_flagged
response_49,flagged
response_50,not_flagged
response_51,not_flagged
response_52,flagged
response_53,not_flagged
response_54,not_flagged
response_55,not_flagged
response_56,not_flagged
response_57,not_flagged
response_58,not_flagged
response_59,not_flagged
response_60,flagged
response_61,not_flagged
response_62,flagged
response_63,not_flagged
response_64,not_flagged
response_65,flagged
response_66,not_flagged
response_67,not_flagged
response_68,not_flagged
